,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
pixel_1_2,-0.62103,0.0350383,-0.392146,0.396483,0.0970852,-0.162283,-0.0573501,0.114154,0.149698,-0.076869,-0.0268429,0.148242,-0.0347312,0.0186108,0.0149592,-0.00363006,-0.0249246,0.0637926,-0.131044
pixel_1_3,0.292541,-0.222857,0.379092,0.234816,0.195743,-0.0303903,-0.064235,0.199504,0.260785,-0.227333,-0.135977,0.0263721,0.303066,0.0705209,-0.194056,-0.0607154,0.105155,0.0133181,-0.116391
pixel_1_4,-0.0981118,0.138399,0.157075,-0.251722,-0.37367,0.129436,0.0318561,0.255085,0.293967,0.0588589,-0.243259,-0.149409,0.251551,-0.08941,-0.355929,-0.103483,-0.0814701,-0.0953376,0.0369954
pixel_1_5,-0.104914,0.517216,-0.408472,-0.200828,-0.264362,-0.179081,-0.125321,0.18142,0.151574,-0.195912,0.203958,-0.0855521,0.0237482,-0.0647803,-0.077424,0.185976,0.0274628,-0.0574528,-0.0544583
pixel_1_6,0.227057,0.643865,-0.164048,-0.0332638,0.328851,0.112099,-0.0449071,-0.0586371,0.0262598,-0.268673,0.173407,-0.172674,0.0615715,0.0555347,0.0578488,0.0470595,-0.0195005,0.0603442,-0.135986
pixel_1_7,0.251432,0.330945,-0.0771442,-0.0107779,0.545499,0.391258,-0.0728327,-0.107443,0.263388,0.0180588,-0.186942,-0.10293,-0.101007,0.069741,-0.116103,-0.101201,-0.0861626,0.0580848,0.0808251
pixel_2_0,-0.0452573,-0.0177217,0.0203262,0.0494629,0.042724,-0.103773,0.161701,0.0932261,0.365052,0.469131,0.197455,-0.327296,0.173146,0.317926,0.326747,0.00818396,0.0673564,0.00870057,-0.0108758
pixel_2_1,-0.370519,-0.0486559,-0.242042,0.35153,0.148552,-0.181747,0.347138,0.181742,0.135626,0.264599,0.144832,-0.0639268,-0.0707102,-0.193927,-0.277996,0.00149779,-0.0811972,0.0621783,-0.124022
pixel_2_2,0.170875,-0.286116,-0.244689,0.421,0.253916,-0.21015,0.273699,0.158335,0.183355,-0.229755,0.0397443,0.147922,0.0717088,-0.199673,0.0181621,-0.0799697,0.0223401,0.144574,-0.235509
pixel_2_3,0.333018,-0.203127,0.480358,-0.205928,-0.0663202,0.221585,0.317016,0.0425849,0.135341,-0.149296,-0.207215,-0.0292954,0.280277,-0.0998253,0.104457,-0.00743046,-0.0744122,0.0208826,0.00312763
pixel_2_4,-0.401623,0.185637,0.280077,-0.403653,-0.387178,0.119358,0.0239238,0.125961,0.163082,0.162074,-0.236408,-0.0285588,0.0141049,-0.107707,-0.0678965,-0.152571,-0.18366,0.101545,-0.0242072
pixel_2_5,0.0636448,0.385278,-0.421628,-0.295339,-0.268101,-0.134713,-0.282251,0.303685,0.112327,-0.049866,0.0487805,-0.0870745,-0.0378286,-0.163475,0.0165281,0.144737,0.142333,0.11594,-0.235137
pixel_2_6,0.463973,0.352835,-0.322227,0.00707411,0.266185,0.264216,-0.115157,0.114928,0.0636336,-0.0242562,-0.0824728,-0.126073,-0.0950963,-0.0617556,0.103276,0.226908,0.146994,0.0117294,-0.107689
pixel_2_7,0.282418,0.195276,-0.0599674,-0.0135778,0.407881,0.425703,0.0103349,-0.0827561,0.23375,0.215507,-0.252164,0.0945138,-0.225629,-0.0238215,-0.0923066,0.145315,0.1414,-0.0977405,0.0513592
pixel_3_0,0.0107017,-0.00938482,0.0457419,0.070108,0.0355312,-0.112067,0.158031,0.0787117,0.313089,0.393835,0.150297,-0.24874,0.224753,0.251441,0.38738,-0.16958,0.186563,-0.264899,-0.15452
pixel_3_1,0.315431,-0.158287,-0.221288,0.445037,0.112545,-0.241277,0.406655,0.187901,-0.0283874,0.171438,0.0356919,0.0780734,-0.0557361,-0.138665,-0.132688,-0.0465446,-0.0425228,0.00934553,-0.0186386
pixel_3_2,0.510058,-0.272097,-0.0975638,0.353606,0.126699,-0.144228,0.431037,-0.0769578,0.0298995,-0.0529834,0.00225278,0.126705,0.0851506,-0.250844,0.0731099,0.0604559,-0.0418054,0.0884604,-0.072333
pixel_3_3,-0.17849,0.129673,0.260746,-0.23856,-0.103135,0.0975483,0.398034,-0.318058,0.228478,-0.0977789,-0.15665,0.222235,0.187269,-0.22463,0.300477,0.181061,-0.139639,0.0296428,-0.0177058
pixel_3_4,-0.388991,0.398357,0.178762,-0.426275,-0.173992,-0.0514357,0.0482649,-0.0760517,0.101263,0.133878,-0.0889022,0.229355,-0.0042041,-0.0624967,0.0582148,-0.0389875,-0.0711792,0.213083,-0.211142
pixel_3_5,0.347457,0.332731,-0.450367,-0.263441,-0.0803148,-0.0335114,-0.196017,0.171304,-0.0921445,0.179889,-0.118187,0.0144989,0.120542,-0.185664,0.0558445,0.0381727,0.139623,0.157015,-0.266349
pixel_3_6,0.489505,0.13553,-0.368769,0.137396,0.000881955,0.145865,-0.270076,0.127925,-0.0374493,0.248063,-0.208578,-0.0515201,0.0292557,-0.225119,0.0817118,0.178557,0.0659082,-0.0705483,0.0595378
pixel_3_7,0.142848,0.0645158,-0.0277494,0.0229681,0.176023,0.450832,-0.0349159,0.0156772,0.258893,0.253339,0.0889577,0.417806,-0.128043,-0.0778444,-0.0891655,0.0913087,0.0369808,-0.21827,-0.0796983
pixel_4_0,0,0,-0,0,-0,0,-0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0,-0
pixel_4_1,0.647456,-0.284276,-0.0590017,0.378755,-0.156334,0.00926383,-0.00388128,0.0723719,-0.204343,0.15349,-0.0955888,-0.0120035,-0.0875929,0.089389,-0.0399201,0.0207936,-0.0830556,0.0588448,0.0153949
pixel_4_2,0.636896,-0.254602,0.17849,0.343366,-0.0810298,-0.0819666,-0.050995,-0.250303,-0.0182756,0.0332777,-0.0433912,-0.00652498,0.000187097,-0.0413804,0.027126,0.190663,0.0434802,-0.0228301,0.00764577
pixel_4_3,0.0137982,0.142268,0.629946,0.0875106,-0.00148169,-0.127894,-0.0520279,-0.421471,0.159448,0.0453499,0.00167304,0.103581,-0.0971193,-0.0265685,0.0131135,0.23783,0.171159,0.0323591,-0.137181
pixel_4_4,0.0355265,0.280487,0.562402,-0.213832,0.0677658,-0.158282,0.00967297,-0.164452,-0.121912,0.0578957,0.0641918,0.218362,-0.165422,0.31141,-0.137435,0.0523873,0.188355,0.160994,-0.238253
pixel_4_5,0.431225,-0.012588,-0.446438,-0.27132,-0.0193373,-0.0322163,-0.0221585,-0.187572,-0.226247,0.176019,-0.119099,0.154377,0.182448,0.277795,-0.114104,-0.138258,0.0762274,0.15261,-0.156523
pixel_4_6,0.350674,-0.191677,-0.500919,0.0258359,-0.111093,-0.0374113,-0.295477,-0.0694059,-0.0793031,0.260155,-0.158452,0.0355539,0.317168,-0.0313518,-0.119541,-0.0525703,-0.0872637,0.0310261,0.0498037
pixel_4_7,0,0,-0,0,-0,0,-0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0,-0
pixel_5_0,0.150681,-0.0571959,0.0332211,0.0587904,-0.147906,0.331711,-0.0223046,0.108786,-0.0557713,0.150374,0.302041,0.277152,0.00710798,0.125458,0.0150213,-0.0120238,-0.406672,-0.0867503,-0.285442
pixel_5_1,0.507219,-0.252066,0.0169824,0.244632,-0.343701,0.26131,-0.153988,0.0952196,-0.179048,0.0398973,0.0908241,-0.0969433,-0.0759178,0.193395,0.0332354,-0.00355347,-0.252567,0.0857939,-0.0714375
pixel_5_2,0.416096,-0.456936,0.19772,0.27892,-0.271213,0.0651506,-0.305203,-0.115165,0.159083,-0.174821,0.0573354,-0.214629,-0.0917369,0.0412778,-0.0046674,0.13821,-0.0216552,0.0491188,-0.0765277
pixel_5_3,0.126904,0.0220476,0.733614,0.211331,-0.0979717,-0.0735726,-0.26241,-0.074071,0.0683238,0.10794,0.0747461,-0.0964292,-0.0171132,-0.0419062,-0.164396,-0.0146839,0.016843,0.0613164,-0.136895
pixel_5_4,0.300533,0.359658,0.610791,0.0333064,0.0368447,-0.0286219,0.126539,0.291422,-0.206779,-0.0174475,0.000863054,0.0431175,-0.046604,0.158961,-0.0532509,0.086773,0.0470827,0.0777157,-0.0874282
pixel_5_5,0.290551,-0.219255,-0.449,-0.232056,-0.142322,0.121609,0.317951,-0.0226252,-0.0592443,-0.200573,-0.08253,0.0832225,0.0178507,0.398925,-0.0644166,0.061776,0.0929835,0.0567582,-0.117052
pixel_5_6,-0.0485836,-0.581174,-0.429024,-0.199868,0.0706187,-0.0495135,-0.135796,-0.368211,0.0531834,0.0614755,0.00891205,0.0366528,0.215392,0.0774427,-0.180014,-0.0968564,-0.016721,0.0050658,-0.0149742
pixel_5_7,0.00615981,-0.190088,0.0728819,-0.119242,0.190637,-0.0416129,-0.170637,-0.168304,-0.0545657,0.0605757,0.0256116,0.0856425,0.537244,-0.0867352,-0.0152053,0.37363,-0.0965632,0.0435623,-0.00289985
pixel_6_0,0.0780984,-0.0242541,0.00913018,0.0441559,-0.106164,0.458471,-0.0581534,0.121456,0.115454,0.152729,0.4797,0.476093,0.0948473,-0.0539292,-0.029879,-0.0794039,0.0623414,-0.00366094,0.0438887
pixel_6_1,-0.110758,-0.085212,-0.037405,0.207421,-0.318987,0.575914,-0.0679035,0.0355832,-0.025924,-0.13489,0.257953,-0.00429163,0.079995,0.0230501,0.189857,-0.0151244,-0.0423682,0.109092,-0.0588225
pixel_6_2,-0.298847,-0.44837,-0.102524,0.250251,-0.205837,0.240087,-0.271114,0.0267578,0.276608,-0.323304,0.0639257,-0.155987,-0.0919348,-0.0823855,0.118596,0.109145,-0.0533659,0.0315703,-0.0658862
pixel_6_3,-0.0862481,-0.0954905,0.496368,0.265091,0.0699095,-0.140773,-0.388545,0.187073,0.199555,-0.0848109,0.0792929,-0.0139957,0.168921,-0.0130147,-0.252315,-0.0767546,0.0341157,-0.0588623,-0.102912
pixel_6_4,0.214233,0.150608,0.296342,0.0997377,-0.0605657,0.195625,0.305101,0.527926,-0.0627905,-0.15306,-0.240863,0.0204352,0.129979,0.212946,-0.159527,0.081673,0.0856177,0.00723,0.0119467
pixel_6_5,-0.18516,-0.46652,-0.426556,-0.295923,-0.0879672,0.187962,0.241678,0.0768847,0.11263,-0.226596,-0.0761562,-0.0335065,-0.0186957,0.17287,-0.0893061,0.0923569,0.115187,-0.00538698,-0.0696672
pixel_6_6,-0.328595,-0.622645,-0.0526231,-0.313545,0.331409,-0.000673211,-0.125665,-0.188178,-0.0362614,0.0529839,0.124345,-0.052715,0.0440571,0.0109362,-0.179434,-0.036377,0.0419567,0.0135174,-0.130558
pixel_6_7,-0.132176,-0.27781,0.233817,-0.259603,0.428808,0.00656215,-0.12896,0.256736,-0.254496,0.0353992,0.0395427,0.0531814,0.297014,-0.0268306,0.0929378,0.276931,-0.087217,-0.00089561,0.0631565
pixel_7_0,0.0049756,0.0117948,0.0262171,0.0155117,-0.0882664,0.203037,-0.0250701,0.0821915,0.0462052,-0.0315777,0.384962,0.158098,0.168777,-0.12286,-0.0375331,-0.206115,0.470829,0.364865,0.402698
pixel_7_1,-0.434692,0.107495,0.07695,0.371263,-0.0674871,0.417711,0.142028,-0.158411,-0.290234,0.0131461,-0.0027565,-0.238317,0.190289,-0.0641502,-0.095193,0.0349597,0.256759,-0.0178492,-0.123203
pixel_7_2,-0.758437,0.196637,-0.116401,0.329584,-0.0576496,0.175933,-0.0229433,-0.0587347,-0.156176,0.0182504,-0.161044,0.0540767,0.0445193,0.0538068,0.0903831,0.0208322,-0.0292597,0.00500124,0.00212425
pixel_7_3,-0.526982,-0.023927,-0.189483,0.341534,0.172861,-0.138785,-0.209875,0.142164,0.15677,-0.141433,-0.157975,0.296911,0.0503656,0.306434,0.0937819,0.0800069,0.0132668,0.0409046,0.0430294
pixel_7_4,-0.048169,-0.60859,-0.141787,-0.307564,-0.00651605,0.179281,0.26816,0.0790703,0.208719,-0.134079,-0.0326347,-0.0206617,-0.121765,0.134694,-0.0532069,0.163059,0.0677904,-0.0179191,0.0189256
pixel_7_5,-0.279679,-0.586082,-0.0505803,-0.502715,0.163148,0.0924772,0.0499158,-0.0492992,0.0365281,-0.0485038,0.212029,-0.167047,-0.135917,-0.0952799,-0.0983636,0.0456286,0.0324156,-0.018374,-0.135037
pixel_7_6,-0.324702,-0.398801,0.227855,-0.320072,0.420252,0.0463302,-0.120291,0.236488,-0.195193,0.0769808,0.195581,-0.138146,-0.0791849,-0.119425,-0.0383487,0.0523511,-0.034987,-0.0412164,-0.0796484
pixel_7_7,-0.193756,-0.172309,0.209876,-0.235364,0.399062,0.026186,-0.0409915,0.504624,-0.296842,0.0389151,0.0191503,0.0373374,-0.0245716,0.0192224,0.162498,0.0729268,-0.0614378,-0.041943,0.0849517
