,pixel_0_0,pixel_0_1,pixel_0_2,pixel_0_3,pixel_0_4,pixel_0_5,pixel_0_6,pixel_0_7,pixel_1_0,pixel_1_1,pixel_1_2,pixel_1_3,pixel_1_4,pixel_1_5,pixel_1_6,pixel_1_7,pixel_2_0,pixel_2_1,pixel_2_2,pixel_2_3,pixel_2_4,pixel_2_5,pixel_2_6,pixel_2_7,pixel_3_0,pixel_3_1,pixel_3_2,pixel_3_3,pixel_3_4,pixel_3_5,pixel_3_6,pixel_3_7,pixel_4_0,pixel_4_1,pixel_4_2,pixel_4_3,pixel_4_4,pixel_4_5,pixel_4_6,pixel_4_7,pixel_5_0,pixel_5_1,pixel_5_2,pixel_5_3,pixel_5_4,pixel_5_5,pixel_5_6,pixel_5_7,pixel_6_0,pixel_6_1,pixel_6_2,pixel_6_3,pixel_6_4,pixel_6_5,pixel_6_6,pixel_6_7,pixel_7_0,pixel_7_1,pixel_7_2,pixel_7_3,pixel_7_4,pixel_7_5,pixel_7_6,pixel_7_7
pixel_1_2,-2.69125e-20,0.225281,0.626676,0.588361,0.015775,0.0727388,-0.00544029,-0.0437904,0.0408373,0.494899,0.989683,-0.120974,-0.0784062,0.198612,-0.0537252,-0.101,0.0393865,0.481089,0.33407,-0.521357,-0.0144618,0.0679566,-0.133383,-0.140891,0.00667215,0.0663386,-0.142039,-0.0822559,0.0688535,-0.106894,-0.114313,-0.0591265,0,-0.270389,-0.338894,-0.160543,-0.231057,-0.197501,-0.0451908,0,-0.0977101,-0.28281,-0.233226,-0.263896,-0.363075,-0.0993591,0.0667543,-0.0710353,-0.0620012,0.0682851,0.311636,0.0247152,-0.200956,0.145967,0.0849134,-0.0718598,-0.0347086,0.198193,0.596079,0.624797,-0.0768471,-0.029242,0.00661141,0.00265953
pixel_1_3,-8.89996e-19,-0.109575,-0.283619,-0.00618462,-0.13467,-0.196742,0.00299285,0.0584048,-0.030633,-0.251424,-0.120974,0.984718,0.110154,-0.279359,-0.0400092,0.0775144,0.0116013,-0.0944605,0.281495,0.395616,-0.19101,-0.239984,0.00707872,0.0625781,0.0329849,0.127585,0.196755,-0.0845761,-0.237423,-0.167089,0.0175762,0.0310302,0,0.202498,0.292193,0.187787,0.0890788,-0.0869968,-0.0147414,0,0.0200111,0.129824,0.308389,0.289316,0.206332,-0.0673018,-0.0503758,0.0764556,0.0185354,-0.0511541,0.0468152,0.423141,0.28663,-0.114403,0.0140833,0.128061,0.0182715,-0.0584033,-0.286222,0.0445428,0.0453169,-0.0953715,0.0285502,0.0564817
pixel_1_4,1.0834e-18,0.0260799,0.0306812,-0.067287,0.153763,-0.0516021,-0.0725552,-0.0303943,0.0133413,0.055166,-0.0784062,0.110154,0.97982,0.200201,-0.090009,-0.0198159,0.0259003,-0.0233008,-0.232962,0.183696,0.541718,0.154801,-0.100418,-0.0405434,0.0177307,-0.161199,-0.219255,0.120654,0.201867,0.0552478,-0.0337893,-0.0165574,0,-0.154373,-0.140862,0.0102461,0.0137944,-0.0751504,-0.026096,0,0.0012242,-0.0631284,-0.0574632,0.0864363,0.0545803,-0.0132656,-0.103876,-0.0449285,0.0163447,0.028684,-0.00540975,0.102304,0.211454,0.0817749,-0.121168,-0.0450773,0.0271373,0.0129208,0.0317306,-0.157582,0.0143623,-0.00117012,-0.043842,-0.0363552
pixel_1_5,1.27893e-18,-0.061997,0.0655302,0.0231342,0.38063,0.531302,0.191378,0.0375414,0.026339,0.0252051,0.198612,-0.279359,0.200201,0.986514,0.344889,-0.0158373,-0.0195943,0.0375134,-0.107993,-0.305687,0.145539,0.720943,0.164096,-0.0911848,-0.039318,-0.122615,-0.236968,-0.0409635,0.212959,0.335035,0.0870119,-0.0498582,0,-0.253476,-0.282786,-0.180156,-0.0694875,0.0375531,0.0404531,0,-0.0779826,-0.167673,-0.217183,-0.279441,-0.0749373,0.0707931,-0.118846,-0.104126,-0.0220695,-0.0316058,-0.027101,-0.151429,-0.0778449,0.0263839,-0.255324,-0.18919,0.0295542,-0.074875,0.0917765,0.0699612,-0.200009,-0.132114,-0.223471,-0.14708
pixel_1_6,-1.75319e-20,-0.0315107,-0.0884008,-0.176319,0.134611,0.527295,0.719159,0.407556,-0.027929,-0.116065,-0.0537252,-0.0400092,-0.090009,0.344889,0.98773,0.423322,-0.0199216,-0.101118,-0.0500893,-0.108053,-0.162906,0.267184,0.582951,0.224525,-0.016832,-0.0736042,-0.0487458,-0.0145726,0.0589863,0.256344,0.166539,0.0804803,0,-0.110431,-0.0788688,-0.00170291,0.103716,0.104168,-0.0483083,0,-0.0323622,-0.0898188,-0.196148,-0.0937881,0.176655,0.00101876,-0.241778,-0.0468466,-0.0106522,-0.0453208,-0.241708,-0.0974632,0.0682471,-0.206164,-0.298612,-0.105711,0.00401443,-0.0109888,-0.0617948,-0.0657871,-0.296087,-0.281233,-0.208014,-0.0956541
pixel_1_7,-2.1343e-18,-0.0430706,-0.100099,-0.11347,0.017119,0.111222,0.359365,0.696457,-0.00958711,-0.075329,-0.101,0.0775144,-0.0198159,-0.0158373,0.423322,0.984047,-0.00426164,-0.076537,-0.00820469,0.0185273,-0.1105,-0.0140222,0.431487,0.647309,-0.00100418,-0.0135786,0.0255464,-0.0317443,-0.0397908,0.140908,0.196173,0.246426,0,0.00272113,0.0107168,-0.00941946,0.0301704,0.101191,0.0115799,0,-0.00623924,-0.041041,-0.0848065,-0.0519948,0.0828231,-0.00897409,-0.0903891,-0.00818609,-0.00178695,-0.043935,-0.154448,-0.0750443,0.0701328,-0.131402,-0.1005,-0.0243723,1.06885e-06,-0.0353932,-0.0999305,-0.0551423,-0.101205,-0.137503,-0.0659748,-0.0237864
pixel_2_0,-7.48721e-19,-0.00500487,-0.0160456,0.0226949,0.0109513,-0.0231757,-0.0174114,-0.00565951,0.276914,0.0877409,0.0393865,0.0116013,0.0259003,-0.0195943,-0.0199216,-0.00426164,0.979361,0.157098,0.00380012,0.00593114,0.014522,-0.0315672,-0.0231434,-0.0013489,0.513279,0.053971,0.0043849,0.0109151,-0.00814204,-0.0470148,-0.0269848,0.00297351,0,-0.0289074,-0.0201279,0.012235,-0.0327716,-0.0429553,-0.0253912,0,-0.00232537,-0.0247807,-0.0212843,0.0258122,-0.016346,-0.0331129,-0.0179092,-0.00274002,0.00404635,-0.0173227,-0.0415348,0.0183195,-0.0221011,-0.0155453,-0.0034171,-0.00732537,0.00466822,-0.0124816,-0.0197261,0.0225557,0.020345,0.00951865,0.0180443,0.0167755
pixel_2_1,2.69743e-19,0.210521,0.279002,0.190049,0.0351802,0.0674328,-0.0314423,-0.0686374,0.135658,0.598942,0.481089,-0.0944605,-0.0233008,0.0375134,-0.101118,-0.076537,0.157098,0.982323,0.305402,-0.298169,-0.0300857,-0.0506642,-0.112311,-0.0635993,0.115293,0.417978,0.114199,-0.0719781,-0.012083,-0.128662,-0.0967367,-0.0272095,0,-0.107546,-0.210446,-0.122106,-0.207256,-0.188653,-0.0500809,0,-0.0474095,-0.184057,-0.211861,-0.129832,-0.191714,-0.101182,0.0281414,-0.0601464,-0.0259745,-0.0406146,0.076729,0.0127144,-0.0524655,0.0895956,0.0864288,-0.0510952,-0.0148142,0.163367,0.258929,0.229608,0.0362042,0.0492085,0.0770016,0.0093226
pixel_2_2,6.10211e-19,-0.111599,-0.08328,0.0401204,-0.116498,-0.0510074,0.0230786,-0.0111386,-0.0339039,-0.0697778,0.33407,0.281495,-0.232962,-0.107993,-0.0500893,-0.00820469,0.00380012,0.305402,0.981891,0.0329754,-0.402663,-0.0887783,0.0517161,0.0087802,0.0365449,0.459657,0.600174,-0.111854,-0.324526,-0.0281965,0.0361989,0.0158415,0,0.226324,0.158231,-0.170287,-0.255483,0.0108824,0.111183,0,-0.0292654,0.045724,0.135465,-0.121203,-0.105168,0.135066,0.117394,0.000896119,-0.0192959,-0.0303638,0.140947,0.0133906,0.0324046,0.0905484,0.0266446,-0.0499645,0.0127378,-0.0709851,-0.118407,0.137809,0.118175,-0.0181617,-0.0418178,-0.0490236
pixel_2_3,1.43199e-18,-0.106475,-0.309527,-0.356011,-0.151208,-0.192734,-0.0833267,-0.0214026,-0.0194764,-0.295485,-0.521357,0.395616,0.183696,-0.305687,-0.108053,0.0185273,0.00593114,-0.298169,0.0329754,0.986417,0.162428,-0.240467,-0.0305737,0.0534155,0.04581,-0.0427458,0.220724,0.396207,-0.0451793,-0.119639,-0.0747467,0.0412305,0,0.129237,0.211835,0.140517,0.0807,-0.04271,-0.101908,0,0.0645357,0.149583,0.22345,0.236289,0.297036,0.0894077,-0.0917769,0.0835372,0.0426205,0.0117485,-0.0775027,0.0648491,0.333689,-0.00127217,-0.0303005,0.119366,0.0147252,-0.0813814,-0.327297,-0.335692,0.204503,0.0768672,0.0429973,0.066176
pixel_2_4,-5.6139e-19,0.0977955,0.207565,0.0691043,-0.025593,-0.0743165,-0.152343,-0.082264,0.0438331,0.205254,-0.0144618,-0.19101,0.541718,0.145539,-0.162906,-0.1105,0.014522,-0.0300857,-0.402663,0.162428,0.985565,0.150788,-0.285841,-0.104582,-0.0029948,-0.327838,-0.446883,0.296217,0.617896,-0.0688588,-0.240826,-0.0414124,0,-0.331778,-0.368167,0.0738086,0.152668,-0.185843,-0.197079,0,-0.0385617,-0.160093,-0.214901,0.11703,0.062266,-0.169725,-0.16848,-0.0681355,-0.011637,0.0504553,0.00546909,0.0228731,0.0661175,0.0245955,-0.0230422,0.00914795,-0.0082754,0.0664317,0.215331,-0.0608223,0.00310226,0.105209,0.0757934,0.0587711
pixel_2_5,5.15723e-19,-0.167972,-0.0845738,-0.0183408,0.183811,0.21227,0.0663144,0.0268715,-0.00743694,-0.093877,0.0679566,-0.239984,0.154801,0.720943,0.267184,-0.0140222,-0.0315672,-0.0506642,-0.0887783,-0.240467,0.150788,0.982434,0.298388,-0.0438998,-0.0425868,-0.114601,-0.20561,-0.141465,0.213232,0.612269,0.240755,-0.00986185,0,-0.116097,-0.207663,-0.226217,-0.100352,0.138457,0.180554,0,-0.0497642,-0.0547587,-0.097878,-0.227092,-0.0424071,0.0939822,-0.0705561,-0.0880746,-0.0184312,-0.0402103,-0.0548533,-0.168416,-0.054407,0.0473484,-0.211296,-0.144607,0.0252931,-0.171716,-0.0783069,-0.0151772,-0.120203,-0.0804573,-0.173217,-0.099659
pixel_2_6,6.02592e-19,-0.133694,-0.217514,-0.223441,0.0807439,0.16111,0.296608,0.306952,-0.0314228,-0.208013,-0.133383,0.00707872,-0.100418,0.164096,0.582951,0.431487,-0.0231434,-0.112311,0.0517161,-0.0305737,-0.285841,0.298388,0.988009,0.447064,-0.0175375,0.0746991,0.114584,-0.135674,-0.183582,0.438685,0.570345,0.163145,0,0.161093,0.0831175,-0.121526,-0.0928104,0.218743,0.164107,0,0.0536768,0.124658,-0.0255606,-0.150834,0.0813859,0.142451,-0.149404,-0.0441,0.0512433,-0.0247044,-0.162923,-0.196104,0.107475,-0.0687121,-0.271342,-0.104843,-0.00844755,-0.115139,-0.21502,-0.128869,-0.081367,-0.226355,-0.205357,-0.0940239
pixel_2_7,-2.11785e-18,-0.040366,-0.119129,-0.149878,0.0224534,-0.000426111,0.126054,0.279214,-0.00438742,-0.073753,-0.140891,0.0625781,-0.0405434,-0.0911848,0.224525,0.647309,-0.0013489,-0.0635993,0.0087802,0.0534155,-0.104582,-0.0438998,0.447064,0.983318,-0.00104337,0.0501806,0.0656075,0.00751105,-0.0253948,0.116165,0.293376,0.440886,0,0.0858062,0.0908228,0.061245,0.0481745,0.118736,0.0478569,0,0.0135642,0.0058815,-0.0589003,-0.0578731,0.0681107,0.0502595,-0.074317,-0.00710042,0.0465119,-0.0298884,-0.146658,-0.121162,0.0960277,-0.0815541,-0.0881513,-0.0212205,0.00241914,-0.0346885,-0.118445,-0.11017,-0.00682548,-0.109401,-0.0583032,-0.0209823
pixel_3_0,-8.87316e-19,-0.013027,-0.0358375,-0.00241178,0.0105693,-0.0209512,-0.0127991,-0.00150073,0.00863531,0.00304484,0.00667215,0.0329849,0.0177307,-0.039318,-0.016832,-0.00100418,0.513279,0.115293,0.0365449,0.04581,-0.0029948,-0.0425868,-0.0175375,-0.00104337,0.971895,0.112353,0.0319784,0.00819864,-0.00657795,-0.0186097,-0.0203552,-0.000904759,0,0.00425487,0.0244058,0.0377187,-0.00771053,-0.0281402,-0.0275893,0,-0.00292823,-0.0159794,-0.0115877,0.0376498,0.00823831,-0.0452062,-0.0286329,0.000123734,0.00171077,-0.0125807,-0.0408609,0.0207627,0.00127009,-0.0489853,-0.0268632,-0.00363201,0.00681509,-0.0118551,-0.0354762,0.000691569,0.00853118,-0.0399243,-0.0171452,-0.00503661
pixel_3_1,7.41396e-19,-0.0856534,-0.151541,-0.106154,0.0268689,0.0343347,-0.00136928,-0.0516345,0.0155266,-0.0398177,0.0663386,0.127585,-0.161199,-0.122615,-0.0736042,-0.0135786,0.053971,0.417978,0.459657,-0.0427458,-0.327838,-0.114601,0.0746991,0.0501806,0.112353,0.987193,0.575006,-0.220136,-0.299288,0.0189836,0.166243,0.0334568,0,0.498688,0.298643,-0.156668,-0.169316,0.08181,0.163063,0,0.0151722,0.157731,0.0513511,-0.125523,0.00157228,0.112353,-0.00787485,-0.0575129,-0.017074,-0.0853691,-0.100697,-0.0737558,0.105348,-0.0120133,-0.143708,-0.10294,-0.0164646,-0.0737553,-0.161604,-0.0217647,0.0298531,-0.149535,-0.153147,-0.0821408
pixel_3_2,1.71911e-18,-0.14601,-0.308887,-0.252322,-0.0592935,-0.0432473,0.0148073,-0.0230657,-0.00315868,-0.224231,-0.142039,0.196755,-0.219255,-0.236968,-0.0487458,0.0255464,0.0043849,0.114199,0.600174,0.220724,-0.446883,-0.20561,0.114584,0.0656075,0.0319784,0.575006,0.98669,0.0847773,-0.394508,0.0282535,0.171576,0.0458698,0,0.46859,0.544832,-0.0224293,-0.177055,0.141788,0.154139,0,0.0472099,0.206305,0.218077,-0.027082,0.039684,0.219243,0.0933454,0.0256871,0.0127962,-0.0672366,-0.0548986,-0.076914,0.076189,-0.00853729,-0.0989773,-0.0666734,-0.00961129,-0.133018,-0.321317,-0.186574,0.082852,-0.113994,-0.191169,-0.125742
pixel_3_3,8.34363e-19,0.0739044,0.105935,-0.0557289,0.0380723,0.100676,0.0205413,-0.0493546,0.0236612,0.053867,-0.0822559,-0.0845761,0.120654,-0.0409635,-0.0145726,-0.0317443,0.0109151,-0.0719781,-0.111854,0.396207,0.296217,-0.141465,-0.135674,0.00751105,0.00819864,-0.220136,0.0847773,0.978,0.429062,-0.115472,-0.191739,0.0179789,0,-0.311422,-0.082588,0.330079,0.108715,-0.15376,-0.257253,0,-0.015546,-0.240734,-0.197995,-0.0161057,0.0319972,-0.0318124,-0.0869645,0.0507883,-0.00293531,0.0318568,-0.0514232,-0.0918556,-0.00534619,0.0121719,-0.0549863,0.00839404,-0.0215776,0.0500671,0.10467,-0.052141,0.0648749,0.044317,-0.0725589,-0.0327321
pixel_3_4,-2.51238e-18,0.0434946,0.19813,0.0893711,0.0954129,0.158503,0.0378571,-0.0294167,0.0233623,0.163774,0.0688535,-0.237423,0.201867,0.212959,0.0589863,-0.0397908,-0.00814204,-0.012083,-0.324526,-0.0451793,0.617896,0.213232,-0.183582,-0.0253948,-0.00657795,-0.299288,-0.394508,0.429062,0.985491,0.123913,-0.287055,-0.00700552,0,-0.429083,-0.420405,0.177175,0.377504,-0.0543634,-0.230868,0,-0.0636257,-0.296477,-0.386742,0.00520653,0.0498643,-0.179281,-0.181286,-0.00161785,-0.0305999,-0.0287462,-0.151938,-0.050677,-0.0485264,-0.0958488,-0.0511057,-0.00519593,0.00537931,0.0281067,0.208425,0.0362576,-0.106967,0.00803208,0.0316919,0.0309465
pixel_3_5,6.52313e-19,-0.207169,-0.193302,-0.182072,0.129121,0.165026,0.13879,0.119862,-0.0518661,-0.209904,-0.106894,-0.167089,0.0552478,0.335035,0.256344,0.140908,-0.0470148,-0.128662,-0.0281965,-0.119639,-0.0688588,0.612269,0.438685,0.116165,-0.0186097,0.0189836,0.0282535,-0.115472,0.123913,0.983553,0.504177,0.0493108,0,0.0802542,-0.00638111,-0.256448,-0.118576,0.513338,0.356955,0,0.0331888,0.0189512,-0.150916,-0.211837,-0.0175078,0.169415,-0.0239354,-0.0212403,-0.000831452,-0.0743257,-0.247379,-0.237174,-0.00464434,-0.0303345,-0.216092,-0.117223,0.000961898,-0.193259,-0.193652,-0.18793,-0.159536,-0.150392,-0.182872,-0.0885523
pixel_3_6,2.34815e-18,-0.152275,-0.192713,-0.142048,0.077903,0.00421961,0.0767987,0.124627,-0.0361926,-0.201765,-0.114313,0.0175762,-0.0337893,0.0870119,0.166539,0.196173,-0.0269848,-0.0967367,0.0361989,-0.0747467,-0.240826,0.240755,0.570345,0.293376,-0.0203552,0.166243,0.171576,-0.191739,-0.287055,0.504177,0.986308,0.142706,0,0.378903,0.279485,-0.164253,-0.263759,0.267709,0.474428,0,0.0754781,0.248318,0.0904423,-0.111489,-0.0526497,0.0768894,-0.0245599,-0.031732,0.0677437,-0.0101468,-0.0842055,-0.132506,0.0136997,-0.0830471,-0.253889,-0.114811,-0.012698,-0.144429,-0.183034,-0.155816,-0.142034,-0.270658,-0.236217,-0.110742
pixel_3_7,-2.4599e-19,-0.0154262,-0.0513436,-0.0683279,0.00788744,-0.0298068,0.021173,0.154146,0.00614422,-0.0309327,-0.0591265,0.0310302,-0.0165574,-0.0498582,0.0804803,0.246426,0.00297351,-0.0272095,0.0158415,0.0412305,-0.0414124,-0.00986185,0.163145,0.440886,-0.000904759,0.0334568,0.0458698,0.0179789,-0.00700552,0.0493108,0.142706,0.981961,0,0.0341373,0.0529514,0.0116376,-0.0029834,0.0413557,0.0344763,0,0.150549,0.0398532,-0.0157165,-0.0163239,0.018708,0.0201531,-0.0255926,-0.00310515,0.450076,0.0887408,-0.0300584,-0.00592157,0.034623,-0.0205785,-0.0382658,-0.00790129,0.00397864,-0.012567,-0.0511118,-0.0305226,-0.000639487,-0.0411036,-0.0255313,-0.00792488
pixel_4_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
